date,area_name,area_id,Temperature,Pressure,Precipitation,season
2029-07,Nabq Protected Area,N/A,30.42335604,1013.25,0,Summer
2029-08,Nabq Protected Area,N/A,31.09867314,1013.25,0,Summer
2029-09,Nabq Protected Area,N/A,28.88672934,1013.25,0.003081270727,Autumn
2029-10,Nabq Protected Area,N/A,25.14793933,1013.25,3.204994029,Autumn
2029-11,Nabq Protected Area,N/A,20.61102258,1013.25,2.48164982,Autumn
2029-12,Nabq Protected Area,N/A,15.97811527,1013.25,2.158918286,Winter
2030-01,Nabq Protected Area,N/A,14.02240202,1013.25,6.141688286,Winter
2030-02,Nabq Protected Area,N/A,16.05863381,1013.25,3.995332789,Winter
2030-03,Nabq Protected Area,N/A,18.07558881,1013.25,6.926624663,Spring
2030-04,Nabq Protected Area,N/A,21.84798675,1013.25,4.186982781,Spring
2030-05,Nabq Protected Area,N/A,26.0830527,1013.25,8.029422221,Spring
2030-06,Nabq Protected Area,N/A,29.26469724,1013.25,0.08852893004,Summer
2030-07,Nabq Protected Area,N/A,30.3998056,1013.25,0,Summer
2030-08,Nabq Protected Area,N/A,30.95697115,1013.25,2.57E-17,Summer
2030-09,Nabq Protected Area,N/A,28.85592693,1013.25,0.06895522552,Autumn
2030-10,Nabq Protected Area,N/A,25.60639539,1013.25,2.243931386,Autumn
2030-11,Nabq Protected Area,N/A,20.86570886,1013.25,2.878059825,Autumn
2030-12,Nabq Protected Area,N/A,15.85517208,1013.25,3.406218938,Winter
2026-01,Abu Galum Protected Area,N/A,13.7704058,1013.25,3.57328087,Winter
2026-02,Abu Galum Protected Area,N/A,14.97243895,1013.25,2.295067436,Winter
2026-03,Abu Galum Protected Area,N/A,18.01136307,1013.25,6.744654042,Spring
2026-04,Abu Galum Protected Area,N/A,22.17636241,1013.25,9.479029066,Spring
2026-05,Abu Galum Protected Area,N/A,25.99487389,1013.25,4.880184269,Spring
2026-06,Abu Galum Protected Area,N/A,29.08618991,1013.25,0.8317217323,Summer
2026-07,Abu Galum Protected Area,N/A,30.37715903,1013.25,0,Summer
2026-08,Abu Galum Protected Area,N/A,30.86483687,1013.25,2.22E-16,Summer
2026-09,Abu Galum Protected Area,N/A,28.73370801,1013.25,1.98502891,Autumn
2026-10,Abu Galum Protected Area,N/A,25.14613176,1013.25,1.925996978,Autumn
2026-11,Abu Galum Protected Area,N/A,20.37135698,1013.25,3.069706754,Autumn
2026-12,Abu Galum Protected Area,N/A,15.00559751,1013.25,3.107318507,Winter
2027-01,Abu Galum Protected Area,N/A,13.40567052,1013.25,2.55807667,Winter
2027-02,Abu Galum Protected Area,N/A,15.45287137,1013.25,4.461388025,Winter
2027-03,Abu Galum Protected Area,N/A,17.6619728,1013.25,6.512061895,Spring
2027-04,Abu Galum Protected Area,N/A,21.82031205,1013.25,6.972763561,Spring
2027-05,Abu Galum Protected Area,N/A,26.16956232,1013.25,3.906719554,Spring
2027-06,Abu Galum Protected Area,N/A,29.09419391,1013.25,0.4581154115,Summer
2027-07,Abu Galum Protected Area,N/A,30.6299681,1013.25,0,Summer
2027-08,Abu Galum Protected Area,N/A,30.8967124,1013.25,1.34E-06,Summer
2027-09,Abu Galum Protected Area,N/A,28.9169856,1013.25,0.7207043925,Autumn
2027-10,Abu Galum Protected Area,N/A,25.1441239,1013.25,4.903515165,Autumn
2027-11,Abu Galum Protected Area,N/A,20.27280506,1013.25,1.927549219,Autumn
2027-12,Abu Galum Protected Area,N/A,15.66236453,1013.25,3.188628196,Winter
2028-01,Abu Galum Protected Area,N/A,13.79038545,1013.25,1.842833021,Winter
2028-02,Abu Galum Protected Area,N/A,15.08337874,1013.25,3.708755029,Winter
2028-03,Abu Galum Protected Area,N/A,18.13671539,1013.25,4.668006474,Spring
2028-04,Abu Galum Protected Area,N/A,21.84166806,1013.25,17.01157565,Spring
2028-05,Abu Galum Protected Area,N/A,25.82627896,1013.25,12.95915405,Spring
2028-06,Abu Galum Protected Area,N/A,28.83805988,1013.25,0.3875663982,Summer
2028-07,Abu Galum Protected Area,N/A,30.76329827,1013.25,0,Summer
2028-08,Abu Galum Protected Area,N/A,30.8603629,1013.25,3.33E-05,Summer
2028-09,Abu Galum Protected Area,N/A,28.78867016,1013.25,0.08777181185,Autumn
2028-10,Abu Galum Protected Area,N/A,25.33590701,1013.25,4.310581612,Autumn
2028-11,Abu Galum Protected Area,N/A,20.06664655,1013.25,4.98024383,Autumn
2028-12,Abu Galum Protected Area,N/A,15.42417661,1013.25,1.143896646,Winter
2029-01,Abu Galum Protected Area,N/A,13.61702736,1013.25,4.083643729,Winter
2029-02,Abu Galum Protected Area,N/A,14.73280636,1013.25,3.10286017,Winter
2029-03,Abu Galum Protected Area,N/A,17.99510269,1013.25,11.01875518,Spring
2029-04,Abu Galum Protected Area,N/A,21.83897863,1013.25,8.864403162,Spring
2029-05,Abu Galum Protected Area,N/A,26.07185876,1013.25,13.07864855,Spring
2029-06,Abu Galum Protected Area,N/A,28.98539132,1013.25,0.07857594584,Summer
2029-07,Abu Galum Protected Area,N/A,30.6126627,1013.25,0,Summer
2029-08,Abu Galum Protected Area,N/A,31.20216591,1013.25,0,Summer
2029-09,Abu Galum Protected Area,N/A,28.93721972,1013.25,0.004839464999,Autumn
2029-10,Abu Galum Protected Area,N/A,25.13785052,1013.25,2.683636341,Autumn
2029-11,Abu Galum Protected Area,N/A,20.41971103,1013.25,2.050411749,Autumn
2029-12,Abu Galum Protected Area,N/A,15.62491639,1013.25,2.196491357,Winter
2030-01,Abu Galum Protected Area,N/A,13.66457197,1013.25,5.320314973,Winter
2030-02,Abu Galum Protected Area,N/A,15.76349688,1013.25,4.120574369,Winter
2030-03,Abu Galum Protected Area,N/A,17.86854758,1013.25,6.592459352,Spring
2030-04,Abu Galum Protected Area,N/A,21.73011242,1013.25,4.392122625,Spring
2030-05,Abu Galum Protected Area,N/A,26.01636698,1013.25,8.263698417,Spring
2030-06,Abu Galum Protected Area,N/A,29.24611332,1013.25,0.06113642982,Summer
2030-07,Abu Galum Protected Area,N/A,30.59312321,1013.25,0,Summer
2030-08,Abu Galum Protected Area,N/A,31.07339642,1013.25,7.50E-17,Summer
2030-09,Abu Galum Protected Area,N/A,28.94200339,1013.25,0.1073540439,Autumn
2030-10,Abu Galum Protected Area,N/A,25.61478682,1013.25,2.233650347,Autumn
2030-11,Abu Galum Protected Area,N/A,20.68996792,1013.25,3.134691813,Autumn
2030-12,Abu Galum Protected Area,N/A,15.47857669,1013.25,2.018907385,Winter
2026-01,Olba Reserve,N/A,20.1417103,1013.25,0.2038115934,Winter
2026-02,Olba Reserve,N/A,21.31866037,1013.25,0.07876380631,Winter
2026-03,Olba Reserve,N/A,23.58883791,1013.25,0.6876793509,Spring
2026-04,Olba Reserve,N/A,27.05712287,1013.25,0.911103337,Spring
2026-05,Olba Reserve,N/A,30.16470871,1013.25,1.472106991,Spring
2026-06,Olba Reserve,N/A,32.84364448,1013.25,0.5411277703,Summer
2026-07,Olba Reserve,N/A,33.6532753,1013.25,0.006201750074,Summer
2026-08,Olba Reserve,N/A,34.02114354,1013.25,0.03169566812,Summer
2026-09,Olba Reserve,N/A,32.15028059,1013.25,1.280891407,Autumn
2026-10,Olba Reserve,N/A,29.12910927,1013.25,0.7354542987,Autumn
2026-11,Olba Reserve,N/A,25.19718805,1013.25,5.744234105,Autumn
2026-12,Olba Reserve,N/A,21.05626706,1013.25,1.342066679,Winter
2027-01,Olba Reserve,N/A,19.80875962,1013.25,0.3255893428,Winter
2027-02,Olba Reserve,N/A,21.44538144,1013.25,0.3164720663,Winter
2027-03,Olba Reserve,N/A,23.36789746,1013.25,0.6021725145,Spring
2027-04,Olba Reserve,N/A,26.90224825,1013.25,1.857527872,Spring
2027-05,Olba Reserve,N/A,30.35379293,1013.25,0.9693685546,Spring
2027-06,Olba Reserve,N/A,32.96288855,1013.25,0.2223746544,Summer
2027-07,Olba Reserve,N/A,33.90272831,1013.25,0.009415778772,Summer
2027-08,Olba Reserve,N/A,34.12536447,1013.25,0.03051889183,Summer
2027-09,Olba Reserve,N/A,32.43401877,1013.25,0.005567391781,Autumn
2027-10,Olba Reserve,N/A,29.26231729,1013.25,1.477221551,Autumn
2027-11,Olba Reserve,N/A,25.04387667,1013.25,4.827028588,Autumn
2027-12,Olba Reserve,N/A,21.46309813,1013.25,0.9331555529,Winter
2028-01,Olba Reserve,N/A,20.07754859,1013.25,0.2781658285,Winter
2028-02,Olba Reserve,N/A,21.10594124,1013.25,0.0726885949,Winter
2028-03,Olba Reserve,N/A,23.59824002,1013.25,0.5366893409,Spring
2028-04,Olba Reserve,N/A,27.02969249,1013.25,1.654310458,Spring
2028-05,Olba Reserve,N/A,30.06266467,1013.25,1.936086687,Spring
2028-06,Olba Reserve,N/A,32.70749716,1013.25,0.1626719837,Summer
2028-07,Olba Reserve,N/A,33.95908665,1013.25,0.006027225016,Summer
2028-08,Olba Reserve,N/A,34.04719385,1013.25,0.05362558452,Summer
2028-09,Olba Reserve,N/A,32.087807,1013.25,0.005307288057,Autumn
2028-10,Olba Reserve,N/A,29.30562247,1013.25,1.431023409,Autumn
2028-11,Olba Reserve,N/A,25.0416031,1013.25,4.599712207,Autumn
2028-12,Olba Reserve,N/A,21.24629585,1013.25,1.521097513,Winter
2029-01,Olba Reserve,N/A,19.99379381,1013.25,0.1812911191,Winter
2029-02,Olba Reserve,N/A,20.82461923,1013.25,0.2850967742,Winter
2029-03,Olba Reserve,N/A,23.59173645,1013.25,0.8641332297,Spring
2029-04,Olba Reserve,N/A,26.8811888,1013.25,0.3710579154,Spring
2029-05,Olba Reserve,N/A,30.33140618,1013.25,0.8680146293,Spring
2029-06,Olba Reserve,N/A,32.8707528,1013.25,0.2481594789,Summer
2029-07,Olba Reserve,N/A,33.74237786,1013.25,0.008235658476,Summer
2029-08,Olba Reserve,N/A,34.41457663,1013.25,0.02190987914,Summer
2029-09,Olba Reserve,N/A,32.42180456,1013.25,0.4468398189,Autumn
2029-10,Olba Reserve,N/A,29.24368612,1013.25,1.017385271,Autumn
2029-11,Olba Reserve,N/A,25.071731,1013.25,3.954643811,Autumn
2029-12,Olba Reserve,N/A,21.28891026,1013.25,3.033478922,Winter
2030-01,Olba Reserve,N/A,20.07242804,1013.25,0.286129897,Winter
2030-02,Olba Reserve,N/A,21.8089566,1013.25,0.05135621564,Winter
2030-03,Olba Reserve,N/A,23.59897897,1013.25,0.633486832,Spring
2030-04,Olba Reserve,N/A,26.9777117,1013.25,1.409153052,Spring
2030-05,Olba Reserve,N/A,30.18200201,1013.25,2.309486358,Spring
2030-06,Olba Reserve,N/A,33.07061013,1013.25,0.1126540015,Summer
2030-07,Olba Reserve,N/A,33.82919263,1013.25,0.01068818711,Summer
2030-08,Olba Reserve,N/A,34.22675206,1013.25,0.03284177825,Summer
2030-09,Olba Reserve,N/A,32.28732139,1013.25,0.008487447526,Autumn
2030-10,Olba Reserve,N/A,29.43649277,1013.25,0.6436719617,Autumn
2030-11,Olba Reserve,N/A,25.23181388,1013.25,7.117645698,Autumn
2030-12,Olba Reserve,N/A,21.32995799,1013.25,1.058739302,Winter
2026-01,Wadi El-Gemal - Hamata,N/A,18.23416321,1013.25,6.01E-04,Winter
2026-02,Wadi El-Gemal - Hamata,N/A,19.69192524,1013.25,4.21E-04,Winter
2026-03,Wadi El-Gemal - Hamata,N/A,22.57045459,1013.25,0.005748534588,Spring
2026-04,Wadi El-Gemal - Hamata,N/A,26.50495896,1013.25,1.63E-05,Spring
2026-05,Wadi El-Gemal - Hamata,N/A,30.01660188,1013.25,1.24E-08,Spring
2026-06,Wadi El-Gemal - Hamata,N/A,32.8769559,1013.25,0,Summer
2026-07,Wadi El-Gemal - Hamata,N/A,33.54674797,1013.25,2.98E-05,Summer
2026-08,Wadi El-Gemal - Hamata,N/A,33.99034604,1013.25,2.57E-04,Summer
2026-09,Wadi El-Gemal - Hamata,N/A,32.06831893,1013.25,0,Autumn
2026-10,Wadi El-Gemal - Hamata,N/A,28.51491699,1013.25,0.01945507325,Autumn
2026-11,Wadi El-Gemal - Hamata,N/A,24.0682781,1013.25,0.1832201675,Autumn
2026-12,Wadi El-Gemal - Hamata,N/A,19.29989967,1013.25,0.01547696862,Winter
2027-01,Wadi El-Gemal - Hamata,N/A,17.89803765,1013.25,3.27E-04,Winter
2027-02,Wadi El-Gemal - Hamata,N/A,19.92480915,1013.25,0.00351668876,Winter
2027-03,Wadi El-Gemal - Hamata,N/A,22.25311054,1013.25,0.005681734998,Spring
2027-04,Wadi El-Gemal - Hamata,N/A,26.32186229,1013.25,6.47E-06,Spring
2027-05,Wadi El-Gemal - Hamata,N/A,30.17269808,1013.25,2.68E-08,Spring
2027-06,Wadi El-Gemal - Hamata,N/A,32.95624233,1013.25,0,Summer
2027-07,Wadi El-Gemal - Hamata,N/A,33.79356284,1013.25,6.85E-05,Summer
2027-08,Wadi El-Gemal - Hamata,N/A,34.07862121,1013.25,2.40E-04,Summer
2027-09,Wadi El-Gemal - Hamata,N/A,32.34308137,1013.25,0,Autumn
2027-10,Wadi El-Gemal - Hamata,N/A,28.60259351,1013.25,0.01408305448,Autumn
2027-11,Wadi El-Gemal - Hamata,N/A,23.9087416,1013.25,0.114866236,Autumn
2027-12,Wadi El-Gemal - Hamata,N/A,19.85373744,1013.25,0.02701997991,Winter
2028-01,Wadi El-Gemal - Hamata,N/A,18.21315872,1013.25,3.32E-04,Winter
2028-02,Wadi El-Gemal - Hamata,N/A,19.55976937,1013.25,1.14E-04,Winter
2028-03,Wadi El-Gemal - Hamata,N/A,22.58916464,1013.25,0.002609781835,Spring
2028-04,Wadi El-Gemal - Hamata,N/A,26.42012566,1013.25,1.26E-04,Spring
2028-05,Wadi El-Gemal - Hamata,N/A,29.91604255,1013.25,8.68E-09,Spring
2028-06,Wadi El-Gemal - Hamata,N/A,32.70745664,1013.25,0,Summer
2028-07,Wadi El-Gemal - Hamata,N/A,33.80794989,1013.25,5.77E-05,Summer
2028-08,Wadi El-Gemal - Hamata,N/A,33.96382972,1013.25,2.64E-04,Summer
2028-09,Wadi El-Gemal - Hamata,N/A,32.01447698,1013.25,0,Autumn
2028-10,Wadi El-Gemal - Hamata,N/A,28.70664158,1013.25,0.02046662381,Autumn
2028-11,Wadi El-Gemal - Hamata,N/A,23.89151906,1013.25,0.1180016361,Autumn
2028-12,Wadi El-Gemal - Hamata,N/A,19.57553489,1013.25,0.02143622712,Winter
2029-01,Wadi El-Gemal - Hamata,N/A,18.09706394,1013.25,1.24E-04,Winter
2029-02,Wadi El-Gemal - Hamata,N/A,19.26415059,1013.25,4.08E-04,Winter
2029-03,Wadi El-Gemal - Hamata,N/A,22.52820738,1013.25,0.003329045385,Spring
2029-04,Wadi El-Gemal - Hamata,N/A,26.30377332,1013.25,2.80E-04,Spring
2029-05,Wadi El-Gemal - Hamata,N/A,30.16190901,1013.25,4.27E-08,Spring
2029-06,Wadi El-Gemal - Hamata,N/A,32.86832048,1013.25,0,Summer
2029-07,Wadi El-Gemal - Hamata,N/A,33.68071874,1013.25,9.02E-05,Summer
2029-08,Wadi El-Gemal - Hamata,N/A,34.33119707,1013.25,6.24E-05,Summer
2029-09,Wadi El-Gemal - Hamata,N/A,32.32374186,1013.25,0,Autumn
2029-10,Wadi El-Gemal - Hamata,N/A,28.61958825,1013.25,0.008983600539,Autumn
2029-11,Wadi El-Gemal - Hamata,N/A,23.99665442,1013.25,0.07739781736,Autumn
2029-12,Wadi El-Gemal - Hamata,N/A,19.59633254,1013.25,0.05344417981,Winter
2030-01,Wadi El-Gemal - Hamata,N/A,18.15638361,1013.25,7.59E-05,Winter
2030-02,Wadi El-Gemal - Hamata,N/A,20.26346159,1013.25,8.70E-04,Winter
2030-03,Wadi El-Gemal - Hamata,N/A,22.46812577,1013.25,0.006359727594,Spring
2030-04,Wadi El-Gemal - Hamata,N/A,26.35308088,1013.25,5.99E-05,Spring
2030-05,Wadi El-Gemal - Hamata,N/A,30.03622459,1013.25,3.76E-09,Spring
2030-06,Wadi El-Gemal - Hamata,N/A,33.03371166,1013.25,0,Summer
2030-07,Wadi El-Gemal - Hamata,N/A,33.72962589,1013.25,7.05E-05,Summer
2030-08,Wadi El-Gemal - Hamata,N/A,34.19832419,1013.25,3.11E-04,Summer
2030-09,Wadi El-Gemal - Hamata,N/A,32.1949648,1013.25,0,Autumn
2030-10,Wadi El-Gemal - Hamata,N/A,28.91389699,1013.25,0.01028113035,Autumn
2030-11,Wadi El-Gemal - Hamata,N/A,24.17649807,1013.25,0.2031931995,Autumn
2030-12,Wadi El-Gemal - Hamata,N/A,19.66980484,1013.25,0.01683325781,Winter
2026-01,Al-Shweila,N/A,14.74451041,1013.25,41.56127614,Winter
2026-02,Al-Shweila,N/A,15.1268912,1013.25,17.96071717,Winter
2026-03,Al-Shweila,N/A,16.97612245,1013.25,10.91034769,Spring
2026-04,Al-Shweila,N/A,19.48188209,1013.25,7.775532329,Spring
2026-05,Al-Shweila,N/A,22.26322141,1013.25,3.642735165,Spring
2026-06,Al-Shweila,N/A,25.87030312,1013.25,0.2637925006,Summer
2026-07,Al-Shweila,N/A,27.50296452,1013.25,0,Summer
2026-08,Al-Shweila,N/A,28.32452527,1013.25,0.4485208191,Summer
2026-09,Al-Shweila,N/A,26.72342648,1013.25,1.151888524,Autumn
2026-10,Al-Shweila,N/A,23.82569908,1013.25,8.977071523,Autumn
2026-11,Al-Shweila,N/A,20.12940183,1013.25,15.98488967,Autumn
2026-12,Al-Shweila,N/A,16.0939404,1013.25,36.85382583,Winter
2027-01,Al-Shweila,N/A,14.42233559,1013.25,37.93897623,Winter
2027-02,Al-Shweila,N/A,15.29539438,1013.25,19.37017996,Winter
2027-03,Al-Shweila,N/A,16.77627176,1013.25,13.08382445,Spring
2027-04,Al-Shweila,N/A,19.39295684,1013.25,4.637628702,Spring
2027-05,Al-Shweila,N/A,22.22390211,1013.25,3.040112559,Spring
2027-06,Al-Shweila,N/A,25.48845006,1013.25,0.3317946837,Summer
2027-07,Al-Shweila,N/A,27.41422313,1013.25,0,Summer
2027-08,Al-Shweila,N/A,28.0750396,1013.25,0.03328857855,Summer
2027-09,Al-Shweila,N/A,26.53905789,1013.25,1.582847216,Autumn
2027-10,Al-Shweila,N/A,23.76243763,1013.25,14.99291353,Autumn
2027-11,Al-Shweila,N/A,19.91673227,1013.25,20.79223637,Autumn
2027-12,Al-Shweila,N/A,16.62226816,1013.25,27.19219566,Winter
2028-01,Al-Shweila,N/A,14.86319178,1013.25,35.090602,Winter
2028-02,Al-Shweila,N/A,15.21994525,1013.25,20.03636283,Winter
2028-03,Al-Shweila,N/A,17.15142584,1013.25,8.32967648,Spring
2028-04,Al-Shweila,N/A,19.25706802,1013.25,4.630787576,Spring
2028-05,Al-Shweila,N/A,22.20433662,1013.25,2.237417021,Spring
2028-06,Al-Shweila,N/A,25.53898271,1013.25,0.09426881757,Summer
2028-07,Al-Shweila,N/A,27.62528716,1013.25,0,Summer
2028-08,Al-Shweila,N/A,28.0847561,1013.25,0.04413780436,Summer
2028-09,Al-Shweila,N/A,26.68116931,1013.25,2.063718343,Autumn
2028-10,Al-Shweila,N/A,23.99813381,1013.25,16.49003729,Autumn
2028-11,Al-Shweila,N/A,19.87334074,1013.25,18.25626458,Autumn
2028-12,Al-Shweila,N/A,16.37724178,1013.25,34.83397823,Winter
2029-01,Al-Shweila,N/A,14.71667019,1013.25,38.99651895,Winter
2029-02,Al-Shweila,N/A,14.92383616,1013.25,27.12799596,Winter
2029-03,Al-Shweila,N/A,16.84886936,1013.25,10.50995627,Spring
2029-04,Al-Shweila,N/A,19.28648845,1013.25,6.04247405,Spring
2029-05,Al-Shweila,N/A,22.17403937,1013.25,3.325005716,Spring
2029-06,Al-Shweila,N/A,25.37445575,1013.25,0.2341248355,Summer
2029-07,Al-Shweila,N/A,27.59942538,1013.25,0,Summer
2029-08,Al-Shweila,N/A,28.41303741,1013.25,0.01131020788,Summer
2029-09,Al-Shweila,N/A,26.59728468,1013.25,1.924538152,Autumn
